,title,address,city,state,postal_code,price,facts and features,real estate provider,url,bed,bath,sqft,property_type,latlng
408,Condo For Sale,333 Main St UNIT 2B,San Francisco,CA,94105,999000.0,"1 bd , 1.5 ba , 1,216 sqft",Skybox Realty,https://www.zillow.com/homedetails/333-Main-St-UNIT-2B-San-Francisco-CA-94105/2101932915_zpid/,1.0,1.5,1216.0,condo,
409,Coming Soon,318 Spear St UNIT 7A,San Francisco,CA,94105,2995000.0,"3 bds , 3 ba , -- sqft",Climb Real Estate,https://www.zillow.com/homedetails/318-Spear-St-UNIT-7A-San-Francisco-CA-94105/2090833340_zpid/,3.0,3.0,,coming,
410,New Construction,201 Folsom St # EYS5DE,San Francisco,CA,94105,3245000.0,"3 bds , 3 ba , 1,780+ sqft",,https://www.zillow.com/community/lumina/2096956669_zpid/,3.0,3.0,1780.0,new,
411,Condo For Sale,355 1st St UNIT S1603,San Francisco,CA,94105,939000.0,"1 bd , 1 ba , 795 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/355-1st-St-UNIT-S1603-San-Francisco-CA-94105/2090860425_zpid/,1.0,1.0,795.0,condo,
412,Condo For Sale,400 Beale St APT 1210,San Francisco,CA,94105,835000.0,"1 bd , 1 ba , 670 sqft",Climb Real Estate,https://www.zillow.com/homedetails/400-Beale-St-APT-1210-San-Francisco-CA-94105/80751632_zpid/,1.0,1.0,670.0,condo,
413,Condo For Sale,425 1st St UNIT 2705,San Francisco,CA,94105,879000.0,"1 bd , 1 ba , 710 sqft",Vision Realty Group,https://www.zillow.com/homedetails/425-1st-St-UNIT-2705-San-Francisco-CA-94105/82786144_zpid/,1.0,1.0,710.0,condo,
414,Condo For Sale,74 New Montgomery St UNIT 701,San Francisco,CA,94105,1419888.0,"2 bds , 2 ba , 1,203 sqft",Select REALTORS,https://www.zillow.com/homedetails/74-New-Montgomery-St-UNIT-701-San-Francisco-CA-94105/83154104_zpid/,2.0,2.0,1203.0,condo,
415,Apartment For Sale,19 Tehama St,San Francisco,CA,94105,5500000.0,"Studio , -- ba , 8,240 sqft",Vanguard Properties,https://www.zillow.com/homedetails/19-Tehama-St-San-Francisco-CA-94105/2122495406_zpid/,0.0,,8240.0,apartment,"(37.7877039461372, -122.395823857616)"
416,Condo For Sale,301 Mission St APT 303,San Francisco,CA,94105,1329000.0,"1 bd , 2 ba , 1,395 sqft",GPK Luxury Real Estate,https://www.zillow.com/homedetails/301-Mission-St-APT-303-San-Francisco-CA-94105/114316022_zpid/,1.0,2.0,1395.0,condo,
417,New Construction,201 Folsom St # 2PGZ5G,San Francisco,CA,94105,1725000.0,"1 bd , 1 ba , 972+ sqft",,https://www.zillow.com/community/lumina/2098636730_zpid/,1.0,1.0,972.0,new,
418,Condo For Sale,338 Main St UNIT 30B,San Francisco,CA,94105,6285000.0,"3 bds , 3 ba , 2,685 sqft",Paragon Real Estate Group,https://www.zillow.com/homedetails/338-Main-St-UNIT-30B-San-Francisco-CA-94105/2090928483_zpid/,3.0,3.0,2685.0,condo,
419,Condo For Sale,338 Spear St UNIT 18E,San Francisco,CA,94105,1788000.0,"2 bds , 2 ba , 1,181 sqft",Skybox Realty,https://www.zillow.com/homedetails/338-Spear-St-UNIT-18E-San-Francisco-CA-94105/89239685_zpid/,2.0,2.0,1181.0,condo,
420,Condo For Sale,501 Beale St UNIT 12H,San Francisco,CA,94105,1988000.0,"2 bds , 2 ba , 1,161 sqft",Vanguard Properties,https://www.zillow.com/homedetails/501-Beale-St-UNIT-12H-San-Francisco-CA-94105/69819303_zpid/,2.0,2.0,1161.0,condo,
421,New Construction,201 Folsom St APT 25B,San Francisco,CA,94105,1870000.0,"2 bds , 2 ba , 1,187 sqft",,https://www.zillow.com/homedetails/201-Folsom-St-APT-25B-San-Francisco-CA-94105/2090962510_zpid/,2.0,2.0,1187.0,new,
422,Condo For Sale,451 Kansas St UNIT 571,San Francisco,CA,94107,895000.0,"1 bd , 1 ba , 778 sqft",Redfin,https://www.zillow.com/homedetails/451-Kansas-St-UNIT-571-San-Francisco-CA-94107/89238222_zpid/,1.0,1.0,778.0,condo,
423,Condo For Sale,1919 20th St APT 2,San Francisco,CA,94107,738000.0,"1 bd , 1 ba , 646 sqft","Romanov Real Estate, Inc.",https://www.zillow.com/homedetails/1919-20th-St-APT-2-San-Francisco-CA-94107/64966837_zpid/,1.0,1.0,646.0,condo,
424,Condo For Sale,229 Brannan St UNIT 5H,San Francisco,CA,94107,1185000.0,"1 bd , 2 ba , 976 sqft",Pacific Union International Inc.,https://www.zillow.com/homedetails/229-Brannan-St-UNIT-5H-San-Francisco-CA-94107/59700532_zpid/,1.0,2.0,976.0,condo,
425,Condo For Sale,2030 3rd St APT 11,San Francisco,CA,94107,888000.0,"1 bd , 2 ba , 1,204 sqft",TRS Properties,https://www.zillow.com/homedetails/2030-3rd-St-APT-11-San-Francisco-CA-94107/2120636965_zpid/,1.0,2.0,1204.0,condo,
